stopwords_removed,3-gram
"['cheater', 'kena', 'report', 'payah']","['cheater_kena_report', 'kena_report_payah']"
"['bagus', 'tarik', 'banget']",['bagus_tarik_banget']
"['buruk', 'bintangc']",[]
"['sekarang', 'wifi', 'lancar']",['sekarang_wifi_lancar']
"['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","['adil_auh_gelap', 'bug_masalah_hukum', 'hukum_malam_adil', 'malam_adil_auh', 'masalah_hukum_malam']"
['next'],[]
"['nanti', 'comeback', 'lgi']",['nanti_comeback_lgi']
['bagus'],[]
"['uninstall', 'lag', 'v']",[]
['tolol'],[]
"['bagus', 'grafik', 'bagus', 'tolong', 'boros', 'mana', 'mana', 'tolong', 'lam', 'tolong']","['bagus_grafik_bagus', 'bagus_tolong_boros', 'boros_mana_mana', 'grafik_bagus_tolong', 'mana_mana_tolong', 'mana_tolong_lam', 'tolong_boros_mana', 'tolong_lam_tolong']"
"['tolong', 'ringan', 'dihp', 'kentang']","['ringan_dihp_kentang', 'tolong_ringan_dihp']"
"['wah', 'gratis', 'sedikit', 'banget', 'untung', 'rotasi', 'minggu', 'sempat', 'minggu']","['banget_untung_rotasi', 'gratis_sedikit_banget', 'minggu_sempat_minggu', 'rotasi_minggu_sempat', 'sedikit_banget_untung', 'untung_rotasi_minggu', 'wah_gratis_sedikit']"
"['lawan', 'bot', 'bosen', 'musuh', 'kabur', 'darah', 'sekarat', 'tengah', 'teman', 'banyak', 'males', 'buriq']","['banyak_males_buriq', 'bosen_musuh_kabur', 'bot_bosen_musuh', 'darah_sekarat_tengah', 'kabur_darah_sekarat', 'lawan_bot_bosen', 'musuh_kabur_darah', 'sekarat_tengah_teman', 'teman_banyak_males', 'tengah_teman_banyak']"
"['ta', 'event', 'epik', 'drbian', 'sudah', 'gaca', 'kga', 'event', 'jgn', 'sosial', 'mending', 'sudah']","['drbian_sudah_gaca', 'epik_drbian_sudah', 'event_epik_drbian', 'event_jgn_sosial', 'gaca_kga_event', 'jgn_sosial_mending', 'kga_event_jgn', 'sosial_mending_sudah', 'sudah_gaca_kga', 'ta_event_epik']"
"['butuh', 'gambar', 'lore', 'lebih', 'jelas', 'susah', 'paham', 'lore', 'lebih', 'fokus', 'bahkan', 'gambar', 'primeara', 'tak', 'tulis', 'jelas', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'harap', 'gambar', 'lore', 'lebih', 'jelas', 'lain']","['bahkan_gambar_primeara', 'banyak_mi_cukup', 'butuh_gambar_lore', 'cukup_susah_paham', 'fokus_bahkan_gambar', 'gambar_lore_lebih', 'gambar_primeara_tak', 'harap_gambar_lore', 'jelas_banyak_mi', 'jelas_susah_paham', 'lebih_fokus_bahkan', 'lebih_jelas_lain', 'lebih_jelas_susah', 'lore_harap_gambar', 'lore_lebih_fokus', 'lore_lebih_jelas', 'mi_cukup_susah', 'paham_lore_harap', 'paham_lore_lebih', 'primeara_tak_tulis', 'susah_paham_lore', 'tak_tulis_jelas', 'tulis_jelas_banyak']"
"['force', 'close', 'update', 'begini']","['close_update_begini', 'force_close_update']"
"['t', 'l', 'l', 'mending', 'legends']",[]
"['fiturnya', 'tolong', 'baik']",['fiturnya_tolong_baik']
"['good', 'application']",[]
"['rusak', 'saranin', 'jangan']",['rusak_saranin_jangan']
"['minimal', 'itel', 'p', 'problem', 'ngebug', 'random', 'force', 'close', 'melulu', 'tolong', 'baik']","['close_melulu_tolong', 'force_close_melulu', 'itel_problem_ngebug', 'melulu_tolong_baik', 'minimal_itel_problem', 'ngebug_random_force', 'problem_ngebug_random', 'random_force_close']"
['seru'],[]
"['free', 'skin']",[]
['seru'],[]
"['gila', 'mana', 'kena', 'penalti', 'makin', 'aneh']","['gila_mana_kena', 'kena_penalti_makin', 'mana_kena_penalti', 'penalti_makin_aneh']"
"['up', 'harga', 'roamer', 'hitung', 'adil', 'bahkan', 'dg', 'samasama', 'dg', 'statistik', 'jauh', 'atas', 'lain', 'roamer', 'tdk', 'dominan', 'mvp', 'its', 'not', 'fair', 'for', 'programmer', 'hitung', 'mu', 'kurang', 'akurat', 'kda', 'selisih', 'jauh', 'unggul', 'kuasa', 'unggul', 'damage', 'terimakasih', 'unggul', 'dominan', 'non', 'roamer', 'mvp']","['adil_bahkan_dg', 'akurat_kda_selisih', 'atas_lain_roamer', 'bahkan_dg_samasama', 'damage_terimakasih_unggul', 'dg_samasama_dg', 'dg_statistik_jauh', 'dominan_mvp_its', 'dominan_non_roamer', 'fair_for_programmer', 'for_programmer_hitung', 'harga_roamer_hitung', 'hitung_adil_bahkan', 'hitung_mu_kurang', 'its_not_fair', 'jauh_atas_lain', 'jauh_unggul_kuasa', 'kda_selisih_jauh', 'kuasa_unggul_damage', 'kurang_akurat_kda', 'lain_roamer_tdk', 'mu_kurang_akurat', 'mvp_its_not', 'non_roamer_mvp', 'not_fair_for', 'programmer_hitung_mu', 'roamer_hitung_adil', 'roamer_tdk_dominan', 'samasama_dg_statistik', 'selisih_jauh_unggul', 'statistik_jauh_atas', 'tdk_dominan_mvp', 'terimakasih_unggul_dominan', 'unggul_damage_terimakasih', 'unggul_dominan_non', 'unggul_kuasa_unggul', 'up_harga_roamer']"
"['tolong', 'matching', 'rusak', 'masa', 'ketemu', 'philipina', 'mesti', 'kalah']","['ketemu_philipina_mesti', 'masa_ketemu_philipina', 'matching_rusak_masa', 'philipina_mesti_kalah', 'rusak_masa_ketemu', 'tolong_matching_rusak']"
"['baik', 'walau', 'lawan', 'susah']","['baik_walau_lawan', 'walau_lawan_susah']"
['adil'],[]
"['akun', 'kena', 'hack']",['akun_kena_hack']
['seru'],[]
"['kenapa', 'mental', 'keluar', 'sendiri', 'masuk', 'lama', 'masuk', 'afk', 'segaja']","['keluar_sendiri_masuk', 'kenapa_mental_keluar', 'lama_masuk_afk', 'masuk_afk_segaja', 'masuk_lama_masuk', 'mental_keluar_sendiri', 'sendiri_masuk_lama']"
"['cacat', 'lawan', 'bot', 'teman', 'bot', 'rusak', 'uninstal']","['bot_rusak_uninstal', 'bot_teman_bot', 'cacat_lawan_bot', 'lawan_bot_teman', 'teman_bot_rusak']"
"['bagus', 'kurang', 'adil', 'bagi', 'akhir', 'kda', 'kurang', 'arti']","['adil_bagi_akhir', 'akhir_kda_kurang', 'bagi_akhir_kda', 'bagus_kurang_adil', 'kda_kurang_arti', 'kurang_adil_bagi']"
"['mirip', 'mobil']",[]
"['kasa', 'lancar', 'sengaya', 'keluar', 'lowding', 'lama', 'banget']","['kasa_lancar_sengaya', 'keluar_lowding_lama', 'lancar_sengaya_keluar', 'lowding_lama_banget', 'sengaya_keluar_lowding']"
"['tetap', 'diamon', 'gelap', 'pusing', 'ah']","['diamon_gelap_pusing', 'gelap_pusing_ah', 'tetap_diamon_gelap']"
"['jarigan', 'stabil', 'banyak', 'bug', 'soryy', 'rerting', 'bintang', 'satu', 'iya']","['banyak_bug_soryy', 'bintang_satu_iya', 'bug_soryy_rerting', 'jarigan_stabil_banyak', 'rerting_bintang_satu', 'soryy_rerting_bintang', 'stabil_banyak_bug']"
"['pernah', 'coba', 'bagus', 'nyoba']","['coba_bagus_nyoba', 'pernah_coba_bagus']"
"['gg', 'seru', 'bagus', 'gratis']","['gg_seru_bagus', 'seru_bagus_gratis']"
"['moga', 'ngecewain', 'jangan', 'mole']","['moga_ngecewain_jangan', 'ngecewain_jangan_mole']"
"['bagus', 'trash', 'makin', 'update', 'makin', 'jelek']","['bagus_trash_makin', 'makin_update_makin', 'trash_makin_update', 'update_makin_jelek']"
"['semua', 'coba', 'cuma', 'jaringanya', 'pasti', 'arti', 'lag', 'wifi', 'lancar', 'sinyal', 'full', 'oke', 'lag', 'seakanakan', 'belum', 'server', 'global', 'sekian', 'terimakasih', 'hal', 'lain', 'puas', 'nyaman', 'paling', 'utama', 'mohon', 'kerja', 'rusak', 'sinyal', 'jika', 'tolong', 'periksa', 'otomatis', 'bagi', 'mungkin', 'mengunakan', 'plungin', 'dll']","['arti_lag_wifi', 'bagi_mungkin_mengunakan', 'belum_server_global', 'coba_cuma_jaringanya', 'cuma_jaringanya_pasti', 'full_oke_lag', 'global_sekian_terimakasih', 'hal_lain_puas', 'jaringanya_pasti_arti', 'jika_tolong_periksa', 'kerja_rusak_sinyal', 'lag_seakanakan_belum', 'lag_wifi_lancar', 'lain_puas_nyaman', 'lancar_sinyal_full', 'mengunakan_plungin_dll', 'mohon_kerja_rusak', 'mungkin_mengunakan_plungin', 'nyaman_paling_utama', 'oke_lag_seakanakan', 'otomatis_bagi_mungkin', 'paling_utama_mohon', 'pasti_arti_lag', 'periksa_otomatis_bagi', 'puas_nyaman_paling', 'rusak_sinyal_jika', 'seakanakan_belum_server', 'sekian_terimakasih_hal', 'semua_coba_cuma', 'server_global_sekian', 'sinyal_full_oke', 'sinyal_jika_tolong', 'terimakasih_hal_lain', 'tolong_periksa_otomatis', 'utama_mohon_kerja', 'wifi_lancar_sinyal']"
"['lebih', 'keren']",[]
"['jelas', 'sudah', 'dua', 'tetap', 'taik', 'buang', 'babi', 'baru', 'paket', 'gb', 'tadi', 'sore', 'satu', 'hbs', 'tinggal', 'paket', 'yutop', 'gilak', 'parah', 'makan']","['babi_baru_paket', 'baru_paket_gb', 'buang_babi_baru', 'dua_tetap_taik', 'gb_tadi_sore', 'gilak_parah_makan', 'hbs_tinggal_paket', 'jelas_sudah_dua', 'paket_gb_tadi', 'paket_yutop_gilak', 'satu_hbs_tinggal', 'sore_satu_hbs', 'sudah_dua_tetap', 'tadi_sore_satu', 'taik_buang_babi', 'tetap_taik_buang', 'tinggal_paket_yutop', 'yutop_gilak_parah']"
[],[]
"['season', 'sekarang', 'kenapa', 'lag', 'minimal', 'lain', 'aman', 'ingame', 'lag', 'males', 'banget', 'server', 'brazil', 'baru', 'lag', 'bukan', 'sendiri']","['aman_ingame_lag', 'banget_server_brazil', 'baru_lag_bukan', 'brazil_baru_lag', 'ingame_lag_males', 'kenapa_lag_minimal', 'lag_bukan_sendiri', 'lag_males_banget', 'lag_minimal_lain', 'lain_aman_ingame', 'males_banget_server', 'minimal_lain_aman', 'season_sekarang_kenapa', 'sekarang_kenapa_lag', 'server_brazil_baru']"
['oke'],[]
"['animasi', 'kurah', 'hidup', 'bagus']","['animasi_kurah_hidup', 'kurah_hidup_bagus']"
"['sinyal', 'kenapa', 'jelek']",['sinyal_kenapa_jelek']
"['bagus', 'seru']",[]
['keren'],[]
"['update', 'belum', 'normal', 'normal', 'gede', 'banget', 'sekitar', 'gban']","['banget_sekitar_gban', 'belum_normal_normal', 'gede_banget_sekitar', 'normal_gede_banget', 'normal_normal_gede', 'update_belum_normal']"
['jelek'],[]
"['jadul', 'banget', 'buruk']",['jadul_banget_buruk']
['baik'],[]
[],[]
"['android', 'baik']",[]
"['tier', 'paling', 'niat']",['tier_paling_niat']
"['my', 'little', 'soda', 'pop']","['little_soda_pop', 'my_little_soda']"
['keren'],[]
"['anggita', 'nurhassanah']",[]
"['lumayan', 'seru', 'cuma', 'ngerti', 'item', 'maka', 'bintang']","['cuma_ngerti_item', 'item_maka_bintang', 'lumayan_seru_cuma', 'ngerti_item_maka', 'seru_cuma_ngerti']"
"['baik', 'tier', 'atas', 'bnyak', 'gelap', 'systemnya', 'ketemu', 'asing', 'anehh', 'gameplaynya']","['asing_anehh_gameplaynya', 'atas_bnyak_gelap', 'baik_tier_atas', 'bnyak_gelap_systemnya', 'gelap_systemnya_ketemu', 'ketemu_asing_anehh', 'systemnya_ketemu_asing', 'tier_atas_bnyak']"
"['candu', 'banget', 'satu', 'walaupun', 'colong', 'samsung', 'j', 'biarin', 'penting', 'kompatibel']","['banget_satu_walaupun', 'biarin_penting_kompatibel', 'candu_banget_satu', 'colong_samsung_biarin', 'samsung_biarin_penting', 'satu_walaupun_colong', 'walaupun_colong_samsung']"
['bagus'],[]
"['report', 'makin', 'jelek', 'semenjak', 'gimmick', 'ai', 'ngetroll', 'nyuri', 'kena']","['ai_ngetroll_nyuri', 'gimmick_ai_ngetroll', 'jelek_semenjak_gimmick', 'makin_jelek_semenjak', 'ngetroll_nyuri_kena', 'report_makin_jelek', 'semenjak_gimmick_ai']"
"['timya', 'bloon']",[]
['inimudah'],[]
"['apresiasi', 'banyak', 'skin', 'gratis', 'bukan', 'skin', 'basic', 'elif', 'bahkan', 'epic', 'njir', 'laa', 'mana', 'paling', 'beri', 'skin', 'basic', 'awok']","['apresiasi_banyak_skin', 'bahkan_epic_njir', 'banyak_skin_gratis', 'basic_elif_bahkan', 'beri_skin_basic', 'bukan_skin_basic', 'elif_bahkan_epic', 'epic_njir_laa', 'gratis_bukan_skin', 'laa_mana_paling', 'mana_paling_beri', 'njir_laa_mana', 'paling_beri_skin', 'skin_basic_awok', 'skin_basic_elif', 'skin_gratis_bukan']"
"['hallo', 'dev', 'edit', 'ulas', 'sedikit', 'keluh', 'agak', 'bingung', 'imbang', 'push', 'musuh', 'lebih', 'tinggi', 'tiernya', 'ketimbang', 'alhasil', 'defeat', 'ketimbang', 'win', 'moga', 'cari', 'imbang', 'tier', 'masing', 'sukses']","['agak_bingung_imbang', 'alhasil_defeat_ketimbang', 'bingung_imbang_push', 'cari_imbang_tier', 'defeat_ketimbang_win', 'dev_edit_ulas', 'edit_ulas_sedikit', 'hallo_dev_edit', 'imbang_push_musuh', 'imbang_tier_masing', 'keluh_agak_bingung', 'ketimbang_alhasil_defeat', 'ketimbang_win_moga', 'lebih_tinggi_tiernya', 'moga_cari_imbang', 'musuh_lebih_tinggi', 'push_musuh_lebih', 'sedikit_keluh_agak', 'tier_masing_sukses', 'tiernya_ketimbang_alhasil', 'tinggi_tiernya_ketimbang', 'ulas_sedikit_keluh', 'win_moga_cari']"
"['selalu', 'jelek', 'jarang', 'banget', 'bagus']","['jarang_banget_bagus', 'jelek_jarang_banget', 'selalu_jelek_jarang']"
['niruin'],[]
['good'],[]
"['tolong', 'update', 'versi', 'lag', 'banget', 'semenjak', 'spriteling', 'tambah', 'lag']","['banget_semenjak_spriteling', 'lag_banget_semenjak', 'semenjak_spriteling_tambah', 'spriteling_tambah_lag', 'tolong_update_versi', 'update_versi_lag', 'versi_lag_banget']"
"['bagus', 'jugaa', 'sukaa']",['bagus_jugaa_sukaa']
"['berharihari', 'kalah', 'ngestack', 'sampah', 'mending', 'balik', 'adil']","['berharihari_kalah_ngestack', 'kalah_ngestack_sampah', 'mending_balik_adil', 'ngestack_sampah_mending', 'sampah_mending_balik']"
"['tarik', 'luar', 'biasa']",['tarik_luar_biasa']
"['bag', 'wifi', 'bagus', 'bagus', 'nyaman', 'tolong', 'rusak']","['bag_wifi_bagus', 'bagus_bagus_nyaman', 'bagus_nyaman_tolong', 'nyaman_tolong_rusak', 'wifi_bagus_bagus']"
"['seru', 'lag']",[]
"['bang', 'tepat', 'janji', 'mu', 'banyak', 'skin', 'gratis', 'cuma', 'kasi', 'skin', 'banyak', 'jarak', 'jauh', 'iklan', 'banyak', 'skin', 'gratis', 'bajingngan']","['bang_tepat_janji', 'banyak_jarak_jauh', 'banyak_skin_gratis', 'cuma_kasi_skin', 'gratis_cuma_kasi', 'iklan_banyak_skin', 'janji_mu_banyak', 'jarak_jauh_iklan', 'jauh_iklan_banyak', 'kasi_skin_banyak', 'mu_banyak_skin', 'skin_banyak_jarak', 'skin_gratis_bajingngan', 'skin_gratis_cuma', 'tepat_janji_mu']"
['mantap'],[]
"['feel', 'dalam', 'kurang', 'asa', 'sehingga', 'enjoyble', 'dalam']","['asa_sehingga_enjoyble', 'dalam_kurang_asa', 'feel_dalam_kurang', 'kurang_asa_sehingga', 'sehingga_enjoyble_dalam']"
"['kurang', 'bagus', 'baru', 'sudah', 'patah', 'patah', 'bagus', 'lo', 'bagus', 'lag', 'patah', 'patah', 'kocak']","['bagus_baru_sudah', 'bagus_lag_patah', 'bagus_lo_bagus', 'baru_sudah_patah', 'kurang_bagus_baru', 'lag_patah_patah', 'lo_bagus_lag', 'patah_bagus_lo', 'patah_patah_bagus', 'patah_patah_kocak', 'sudah_patah_patah']"
"['boot', 'menang', 'pernah', 'payah', 'imbang']","['boot_menang_pernah', 'menang_pernah_payah', 'pernah_payah_imbang']"
"['bagus', 'seru']",[]
"['please', 'make', 'fairer']",['please_make_fairer']
"['bagus', 'banget', 'mana', 'offline']","['bagus_banget_mana', 'banget_mana_offline']"
"['nilai', 'hukum', 'masuk', 'akal', 'force', 'close', 'signal', 'towing']","['akal_force_close', 'close_signal_towing', 'force_close_signal', 'hukum_masuk_akal', 'masuk_akal_force', 'nilai_hukum_masuk']"
"['bintang', 'lama', 'ken', 'akun', 'hilang', 'akun', 'google', 'ingat', 'nyambungin', 'mana', 'agak', 'kesal', 'akun', 'kerenlevel', 'infinity', 'jaga', 'signature', 'nyabuat', 'pensi', 'haru', 'pensi', 'habis', 'kapan', 'hapus', 'akun', 'agak', 'nyesel', 'pernah', 'sumpah', 'muak', 'gimana']","['agak_kesal_akun', 'agak_nyesel_pernah', 'akun_agak_nyesel', 'akun_google_ingat', 'akun_hilang_akun', 'akun_kerenlevel_infinity', 'bintang_lama_ken', 'google_ingat_nyambungin', 'habis_kapan_hapus', 'hapus_akun_agak', 'haru_pensi_habis', 'hilang_akun_google', 'infinity_jaga_signature', 'ingat_nyambungin_mana', 'jaga_signature_nyabuat', 'kapan_hapus_akun', 'ken_akun_hilang', 'kerenlevel_infinity_jaga', 'kesal_akun_kerenlevel', 'lama_ken_akun', 'mana_agak_kesal', 'nyabuat_pensi_haru', 'nyambungin_mana_agak', 'nyesel_pernah_sumpah', 'pensi_habis_kapan', 'pensi_haru_pensi', 'pernah_sumpah_muak', 'signature_nyabuat_pensi', 'sumpah_muak_gimana']"
"['heran', 'lawan', 'terlalu', 'kuat', 'dage', 'lawan', 'terlalu', 'tinggi', 'satu', 'serang', 'langsung', 'mati']","['dage_lawan_terlalu', 'heran_lawan_terlalu', 'kuat_dage_lawan', 'lawan_terlalu_kuat', 'lawan_terlalu_tinggi', 'satu_serang_langsung', 'serang_langsung_mati', 'terlalu_kuat_dage', 'terlalu_tinggi_satu', 'tinggi_satu_serang']"
"['berat', 'banget', 'ui', 'fc', 'belum', 'optimal']","['banget_ui_fc', 'berat_banget_ui', 'fc_belum_optimal', 'ui_fc_belum']"
"['oke', 'matsmeking', 'sudah', 'bagus', 'tanks', 'respon', 'cepet', 'lajutkan', 'mets', 'meking', 'adil', 'vs', 'jan', 'skin', 'bayakin', 'metsmeking', 'ancur', 'bintang', 'metsmeking']","['adil_vs_jan', 'ancur_bintang_metsmeking', 'bagus_tanks_respon', 'bayakin_metsmeking_ancur', 'cepet_lajutkan_mets', 'jan_skin_bayakin', 'lajutkan_mets_meking', 'matsmeking_sudah_bagus', 'meking_adil_vs', 'mets_meking_adil', 'metsmeking_ancur_bintang', 'oke_matsmeking_sudah', 'respon_cepet_lajutkan', 'skin_bayakin_metsmeking', 'sudah_bagus_tanks', 'tanks_respon_cepet', 'vs_jan_skin']"
"['masalah', 'yahh', 'lag', 'sendiri', 'ping', 'hijau', 'truss', 'crash', 'sudah', 'gtu', 'langsung', 'kluar', 'dri', 'sendiri', 'sudah', 'turunin', 'grafik', 'ttep', 'gda', 'masalah', 'dri']","['crash_sudah_gtu', 'dri_sendiri_sudah', 'gda_masalah_dri', 'grafik_ttep_gda', 'gtu_langsung_kluar', 'hijau_truss_crash', 'kluar_dri_sendiri', 'lag_sendiri_ping', 'langsung_kluar_dri', 'masalah_yahh_lag', 'ping_hijau_truss', 'sendiri_ping_hijau', 'sendiri_sudah_turunin', 'sudah_gtu_langsung', 'sudah_turunin_grafik', 'truss_crash_sudah', 'ttep_gda_masalah', 'turunin_grafik_ttep', 'yahh_lag_sendiri']"
['kacau'],[]
"['makin', 'jelas', 'report', 'sengaja', 'laku', 'feeding', 'nilai', 'sapa', 'laku', 'feeding']","['feeding_nilai_sapa', 'jelas_report_sengaja', 'laku_feeding_nilai', 'makin_jelas_report', 'nilai_sapa_laku', 'report_sengaja_laku', 'sapa_laku_feeding', 'sengaja_laku_feeding']"
"['suka', 'walaupun', 'suka', 'bug', 'tetapi', 'keren', 'banget', 'mohon', 'maaf', 'bugnge', 'lag', 'tolong', 'baik', 'biar', 'semua', 'senang', 'hati', 'terimakasih', 'sudah']","['baik_biar_semua', 'banget_mohon_maaf', 'biar_semua_senang', 'bug_tetapi_keren', 'bugnge_lag_tolong', 'hati_terimakasih_sudah', 'keren_banget_mohon', 'lag_tolong_baik', 'maaf_bugnge_lag', 'mohon_maaf_bugnge', 'semua_senang_hati', 'senang_hati_terimakasih', 'suka_bug_tetapi', 'suka_walaupun_suka', 'tetapi_keren_banget', 'tolong_baik_biar', 'walaupun_suka_bug']"
"['kurang', 'update', 'jika']",['kurang_update_jika']
"['baik', 'buruk', 'anomali', 'butuh', 'saran', 'butuh', 'sedikit', 'ubah']","['anomali_butuh_saran', 'baik_buruk_anomali', 'buruk_anomali_butuh', 'butuh_saran_butuh', 'butuh_sedikit_ubah', 'saran_butuh_sedikit']"
"['makin', 'sinyal', 'makin', 'buruk', 'masa', 'sinyal', 'hijau', 'lag', 'patah', 'bukan', 'patah', 'masalah', 'masalah']","['bukan_patah_masalah', 'buruk_masa_sinyal', 'hijau_lag_patah', 'lag_patah_bukan', 'makin_buruk_masa', 'makin_sinyal_makin', 'masa_sinyal_hijau', 'patah_bukan_patah', 'patah_masalah_masalah', 'sinyal_hijau_lag', 'sinyal_makin_buruk']"
"['musuh', 'benar', 'jangan', 'buruk', 'musuh', 'ngotak', 'skill', 'satu', 'khusus', 'gold', 'gold', 'jangan', 'campur', 'burikk', 'sudah', 'rekomen']","['benar_jangan_buruk', 'burikk_sudah_rekomen', 'buruk_musuh_ngotak', 'campur_burikk_sudah', 'gold_gold_jangan', 'gold_jangan_campur', 'jangan_buruk_musuh', 'jangan_campur_burikk', 'khusus_gold_gold', 'musuh_benar_jangan', 'musuh_ngotak_skill', 'ngotak_skill_satu', 'satu_khusus_gold', 'skill_satu_khusus']"
"['draft', 'mu', 'nyatuin', 'bot', 'trs', 'nob', 'stres', 'mantan', 'gm', 'kecewa', 'pngen']","['bot_trs_nob', 'draft_mu_nyatuin', 'gm_kecewa_pngen', 'mantan_gm_kecewa', 'mu_nyatuin_bot', 'nob_stres_mantan', 'nyatuin_bot_trs', 'stres_mantan_gm', 'trs_nob_stres']"
"['bagus', 'sampai', 'papa', 'adik', 'pokok', 'bagus', 'bintang']","['adik_pokok_bagus', 'bagus_sampai_papa', 'papa_adik_pokok', 'pokok_bagus_bintang', 'sampai_papa_adik']"
"['pisahin', 'ph', 'server', 'lain', 'isi', 'troll', 'egois', 'semua', 'separty', 'cari', 'untung', 'sendiri', 'gapeduli', 'sudah', 'gaada', 'uba', 'nyoba', 'maksa', 'rebut', 'sesuai', 'afk', 'dll', 'konyol', 'ngetroll', 'egois', 'mvp', 'sementara', 'pontang', 'panting', 'deffend', 'tower', 'sana', 'kena', 'penalty', 'kurang', 'brengsek', 'ha']","['afk_dll_konyol', 'cari_untung_sendiri', 'deffend_tower_sana', 'dll_konyol_ngetroll', 'egois_mvp_sementara', 'egois_semua_separty', 'gaada_uba_nyoba', 'gapeduli_sudah_gaada', 'isi_troll_egois', 'kena_penalty_kurang', 'konyol_ngetroll_egois', 'kurang_brengsek_ha', 'lain_isi_troll', 'maksa_rebut_sesuai', 'mvp_sementara_pontang', 'ngetroll_egois_mvp', 'nyoba_maksa_rebut', 'panting_deffend_tower', 'penalty_kurang_brengsek', 'ph_server_lain', 'pisahin_ph_server', 'pontang_panting_deffend', 'rebut_sesuai_afk', 'sana_kena_penalty', 'sementara_pontang_panting', 'semua_separty_cari', 'sendiri_gapeduli_sudah', 'separty_cari_untung', 'server_lain_isi', 'sesuai_afk_dll', 'sudah_gaada_uba', 'tower_sana_kena', 'troll_egois_semua', 'uba_nyoba_maksa', 'untung_sendiri_gapeduli']"
"['keren', 'banget', 'cok']",['keren_banget_cok']
['keren'],[]
