stopwords_removed,trigrams_mlbb
"['makingg', 'adil', 'massa', 'ketemu', 'legenda', 'dmna', 'letak', 'adil', 'dri', 'dlu', 'smpee', 'skrngg', 'kya', 'gth', 'aneh']","[('makingg', 'adil', 'massa'), ('adil', 'massa', 'ketemu'), ('massa', 'ketemu', 'legenda'), ('ketemu', 'legenda', 'dmna'), ('legenda', 'dmna', 'letak'), ('dmna', 'letak', 'adil'), ('letak', 'adil', 'dri'), ('adil', 'dri', 'dlu'), ('dri', 'dlu', 'smpee'), ('dlu', 'smpee', 'skrngg'), ('smpee', 'skrngg', 'kya'), ('skrngg', 'kya', 'gth'), ('kya', 'gth', 'aneh')]"
['mengibur'],[]
"['perbaikin', 'terlalu', 'delaylag', 'padalan', 'bagus']","[('perbaikin', 'terlalu', 'delaylag'), ('terlalu', 'delaylag', 'padalan'), ('delaylag', 'padalan', 'bagus')]"
"['stres', 'puyeng', 'satu', 'ujung', 'losetreak', 'trs']","[('stres', 'puyeng', 'satu'), ('puyeng', 'satu', 'ujung'), ('satu', 'ujung', 'losetreak'), ('ujung', 'losetreak', 'trs')]"
"['epik', 'benar', 'lahh', 'ey', 'rusak', 'dongg', 'susah', 'kalah', 'lebih', 'baik', 'bintang', 'satu']","[('epik', 'benar', 'lahh'), ('benar', 'lahh', 'ey'), ('lahh', 'ey', 'rusak'), ('ey', 'rusak', 'dongg'), ('rusak', 'dongg', 'susah'), ('dongg', 'susah', 'kalah'), ('susah', 'kalah', 'lebih'), ('kalah', 'lebih', 'baik'), ('lebih', 'baik', 'bintang'), ('baik', 'bintang', 'satu')]"
"['bagus', 'bgtt', 'walaupun', 'lag', 'gatau', 'knp', 'wifi', 'bagus', 'win', 'kalah', 'lebih', 'win', 'gara', 'gara', 'bot', 'gitu', 'thanks']","[('bagus', 'bgtt', 'walaupun'), ('bgtt', 'walaupun', 'lag'), ('walaupun', 'lag', 'gatau'), ('lag', 'gatau', 'knp'), ('gatau', 'knp', 'wifi'), ('knp', 'wifi', 'bagus'), ('wifi', 'bagus', 'win'), ('bagus', 'win', 'kalah'), ('win', 'kalah', 'lebih'), ('kalah', 'lebih', 'win'), ('lebih', 'win', 'gara'), ('win', 'gara', 'gara'), ('gara', 'gara', 'bot'), ('gara', 'bot', 'gitu'), ('bot', 'gitu', 'thanks')]"
"['kontolo', 'memek']",[]
"['seru', 'banget']",[]
"['ubah', 'rang']",[]
"['suka', 'banget', 'seru']","[('suka', 'banget', 'seru')]"
"['terimakasih', 'teman', 'nin', 'pergi', 'lama', 'mu', 'lama', 'love', 'you', 'bye']","[('terimakasih', 'teman', 'nin'), ('teman', 'nin', 'pergi'), ('nin', 'pergi', 'lama'), ('pergi', 'lama', 'mu'), ('lama', 'mu', 'lama'), ('mu', 'lama', 'love'), ('lama', 'love', 'you'), ('love', 'you', 'bye')]"
['seru'],[]
"['gg', 'coo', 'keren', 'mantap', 'lebih', 'keren', 'ff', 'awokawokawok']","[('gg', 'coo', 'keren'), ('coo', 'keren', 'mantap'), ('keren', 'mantap', 'lebih'), ('mantap', 'lebih', 'keren'), ('lebih', 'keren', 'ff'), ('keren', 'ff', 'awokawokawok')]"
"['tolong', 'lawan']",[]
['tolol'],[]
"['rusak', 'bug', 'hijau', 'lag']","[('rusak', 'bug', 'hijau'), ('bug', 'hijau', 'lag')]"
"['maaf', 'motoon', 'inanilahi', 'mati', 'pensi', 'cpe', 'naik', 'trun', 'naik', 'trun', 'bismilah', 'mti']","[('maaf', 'motoon', 'inanilahi'), ('motoon', 'inanilahi', 'mati'), ('inanilahi', 'mati', 'pensi'), ('mati', 'pensi', 'cpe'), ('pensi', 'cpe', 'naik'), ('cpe', 'naik', 'trun'), ('naik', 'trun', 'naik'), ('trun', 'naik', 'trun'), ('naik', 'trun', 'bismilah'), ('trun', 'bismilah', 'mti')]"
"['minimal', 'lgi']",[]
"['tolol', 'musuh', 'susah', 'kasi', 'ws']","[('tolol', 'musuh', 'susah'), ('musuh', 'susah', 'kasi'), ('susah', 'kasi', 'ws')]"
"['goblog', 'pusing']",[]
"['ramah', 'sombong']",[]
['lostrek'],[]
"['hadeh', 'bayak', 'gelap', 'epik', 'gj', 'jelas', 'lus']","[('hadeh', 'bayak', 'gelap'), ('bayak', 'gelap', 'epik'), ('gelap', 'epik', 'gj'), ('epik', 'gj', 'jelas'), ('gj', 'jelas', 'lus')]"
"['sang', 'at', 'bail', 'mi']","[('sang', 'at', 'bail'), ('at', 'bail', 'mi')]"
"['timgak', 'amin']",[]
['bagus'],[]
"['mantap', 'sakuramba']",[]
"['pilih', 'anjg']",[]
"['sinyal', 'bagus', 'standart', 'kenapa', 'lag', 'akibat', 'hitung', 'afk', 'rugi', 'nyari', 'senang', 'stres']","[('sinyal', 'bagus', 'standart'), ('bagus', 'standart', 'kenapa'), ('standart', 'kenapa', 'lag'), ('kenapa', 'lag', 'akibat'), ('lag', 'akibat', 'hitung'), ('akibat', 'hitung', 'afk'), ('hitung', 'afk', 'rugi'), ('afk', 'rugi', 'nyari'), ('rugi', 'nyari', 'senang'), ('nyari', 'senang', 'stres')]"
"['kalah', 'gara', 'gara', 'jago', 'bae', 'musuh', 'drack', 'semua']","[('kalah', 'gara', 'gara'), ('gara', 'gara', 'jago'), ('gara', 'jago', 'bae'), ('jago', 'bae', 'musuh'), ('bae', 'musuh', 'drack'), ('musuh', 'drack', 'semua')]"
['adil'],[]
"['seru', 'banget']",[]
"['bagus', 'suka', 'makanya', 'jgn', 'bot', 'sudah', 'kg', 'bs', 'dongoo']","[('bagus', 'suka', 'makanya'), ('suka', 'makanya', 'jgn'), ('makanya', 'jgn', 'bot'), ('jgn', 'bot', 'sudah'), ('bot', 'sudah', 'kg'), ('sudah', 'kg', 'bs'), ('kg', 'bs', 'dongoo')]"
"['susah', 'banget', 'masuk', 'makin', 'berat']","[('susah', 'banget', 'masuk'), ('banget', 'masuk', 'makin'), ('masuk', 'makin', 'berat')]"
"['kalah', 'menang', 'sudah', 'biasa', 'kalah', 'tanpa', 'progress', 'sebal', 'baru', 'season', 'sekarang', 'alami', 'hal', 'your', 'gelap']","[('kalah', 'menang', 'sudah'), ('menang', 'sudah', 'biasa'), ('sudah', 'biasa', 'kalah'), ('biasa', 'kalah', 'tanpa'), ('kalah', 'tanpa', 'progress'), ('tanpa', 'progress', 'sebal'), ('progress', 'sebal', 'baru'), ('sebal', 'baru', 'season'), ('baru', 'season', 'sekarang'), ('season', 'sekarang', 'alami'), ('sekarang', 'alami', 'hal'), ('alami', 'hal', 'your'), ('hal', 'your', 'gelap')]"
['suka'],[]
"['seru', 'senang', 'enak', 'dimainin', 'seru', 'banget', 'teman', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'banget', 'lebih', 'seru', 'sonia', 'sun', 'sun', 'guys', 'usah', 'teman', 'lebih', 'seru', 'hujanhujanan', 'dimarahin', 'tuhan']","[('seru', 'senang', 'enak'), ('senang', 'enak', 'dimainin'), ('enak', 'dimainin', 'seru'), ('dimainin', 'seru', 'banget'), ('seru', 'banget', 'teman'), ('banget', 'teman', 'seru'), ('teman', 'seru', 'seru'), ('seru', 'seru', 'seru'), ('seru', 'seru', 'seru'), ('seru', 'seru', 'seru'), ('seru', 'seru', 'seru'), ('seru', 'seru', 'seru'), ('seru', 'seru', 'banget'), ('seru', 'banget', 'lebih'), ('banget', 'lebih', 'seru'), ('lebih', 'seru', 'sonia'), ('seru', 'sonia', 'sun'), ('sonia', 'sun', 'sun'), ('sun', 'sun', 'guys'), ('sun', 'guys', 'usah'), ('guys', 'usah', 'teman'), ('usah', 'teman', 'lebih'), ('teman', 'lebih', 'seru'), ('lebih', 'seru', 'hujanhujanan'), ('seru', 'hujanhujanan', 'dimarahin'), ('hujanhujanan', 'dimarahin', 'tuhan')]"
['kontl'],[]
"['cuma', 'fokus', 'event', 'tanpa', 'optimal', 'ubah', 'ui', 'cacat', 'serius', 'fokus', 'jual', 'merchandise', 'event', 'kikir']","[('cuma', 'fokus', 'event'), ('fokus', 'event', 'tanpa'), ('event', 'tanpa', 'optimal'), ('tanpa', 'optimal', 'ubah'), ('optimal', 'ubah', 'ui'), ('ubah', 'ui', 'cacat'), ('ui', 'cacat', 'serius'), ('cacat', 'serius', 'fokus'), ('serius', 'fokus', 'jual'), ('fokus', 'jual', 'merchandise'), ('jual', 'merchandise', 'event'), ('merchandise', 'event', 'kikir')]"
"['stuck', 'baik', 'jg']","[('stuck', 'baik', 'jg')]"
"['ngga', 'guna', 'ngga', 'pernah', 'beri', 'bangus']","[('ngga', 'guna', 'ngga'), ('guna', 'ngga', 'pernah'), ('ngga', 'pernah', 'beri'), ('pernah', 'beri', 'bangus')]"
"['sinyal', 'bagus', 'gerak', 'ngentod', 'niat']","[('sinyal', 'bagus', 'gerak'), ('bagus', 'gerak', 'ngentod'), ('gerak', 'ngentod', 'niat')]"
"['seru', 'banyak', 'gelap', 'sytem', 'bintang', 'naik', 'legen', 'poke', 'musuh', 'top', 'globalpenjoki']","[('seru', 'banyak', 'gelap'), ('banyak', 'gelap', 'sytem'), ('gelap', 'sytem', 'bintang'), ('sytem', 'bintang', 'naik'), ('bintang', 'naik', 'legen'), ('naik', 'legen', 'poke'), ('legen', 'poke', 'musuh'), ('poke', 'musuh', 'top'), ('musuh', 'top', 'globalpenjoki')]"
['jembut'],[]
['anjing'],[]
"['banyak', 'update', 'sinyal', 'server', 'urus', 'sinyal', 'bagus', 'lag']","[('banyak', 'update', 'sinyal'), ('update', 'sinyal', 'server'), ('sinyal', 'server', 'urus'), ('server', 'urus', 'sinyal'), ('urus', 'sinyal', 'bagus'), ('sinyal', 'bagus', 'lag')]"
['bagus'],[]
"['bagus', 'walaupun', 'ngelagketemu', 'gelap', 'situ', 'ajar', 'toxic', 'terimakasih', 'developer', 'makanya', 'dm', 'sampai', 'assalamualaikum', 'warahmatullahi', 'wabarakatuh']","[('bagus', 'walaupun', 'ngelagketemu'), ('walaupun', 'ngelagketemu', 'gelap'), ('ngelagketemu', 'gelap', 'situ'), ('gelap', 'situ', 'ajar'), ('situ', 'ajar', 'toxic'), ('ajar', 'toxic', 'terimakasih'), ('toxic', 'terimakasih', 'developer'), ('terimakasih', 'developer', 'makanya'), ('developer', 'makanya', 'dm'), ('makanya', 'dm', 'sampai'), ('dm', 'sampai', 'assalamualaikum'), ('sampai', 'assalamualaikum', 'warahmatullahi'), ('assalamualaikum', 'warahmatullahi', 'wabarakatuh')]"
"['seru', 'knpa', 'beberapa', 'parah', 'banget', 'pdhl', 'bagus', 'langsung', 'parah', 'banget', 'pdhl', 'belum', 'gprnh', 'masalah', 'lg']","[('seru', 'knpa', 'beberapa'), ('knpa', 'beberapa', 'parah'), ('beberapa', 'parah', 'banget'), ('parah', 'banget', 'pdhl'), ('banget', 'pdhl', 'bagus'), ('pdhl', 'bagus', 'langsung'), ('bagus', 'langsung', 'parah'), ('langsung', 'parah', 'banget'), ('parah', 'banget', 'pdhl'), ('banget', 'pdhl', 'belum'), ('pdhl', 'belum', 'gprnh'), ('belum', 'gprnh', 'masalah'), ('gprnh', 'masalah', 'lg')]"
"['rekomendasi', 'ton', 'kurang', 'gelap']","[('rekomendasi', 'ton', 'kurang'), ('ton', 'kurang', 'gelap')]"
"['pertama', 'terimakasih', 'cipta', 'epic', 'beri', 'saran', 'tolong', 'benah', 'minta', 'tolong', 'benah', 'matching', 'garis', 'bawah', 'sungguh', 'classic', 'lagend', 'dapetnya', 'pangkat', 'warior', 'masuk', 'akal', 'mohon', 'benah', 'begitu', 'sudah', 'maklum', 'classic', 'lebih']","[('pertama', 'terimakasih', 'cipta'), ('terimakasih', 'cipta', 'epic'), ('cipta', 'epic', 'beri'), ('epic', 'beri', 'saran'), ('beri', 'saran', 'tolong'), ('saran', 'tolong', 'benah'), ('tolong', 'benah', 'minta'), ('benah', 'minta', 'tolong'), ('minta', 'tolong', 'benah'), ('tolong', 'benah', 'matching'), ('benah', 'matching', 'garis'), ('matching', 'garis', 'bawah'), ('garis', 'bawah', 'sungguh'), ('bawah', 'sungguh', 'classic'), ('sungguh', 'classic', 'lagend'), ('classic', 'lagend', 'dapetnya'), ('lagend', 'dapetnya', 'pangkat'), ('dapetnya', 'pangkat', 'warior'), ('pangkat', 'warior', 'masuk'), ('warior', 'masuk', 'akal'), ('masuk', 'akal', 'mohon'), ('akal', 'mohon', 'benah'), ('mohon', 'benah', 'begitu'), ('benah', 'begitu', 'sudah'), ('begitu', 'sudah', 'maklum'), ('sudah', 'maklum', 'classic'), ('maklum', 'classic', 'lebih')]"
"['selalu', 'adil', 'mana', 'musuh', 'terlalu', 'jago', 'mula']","[('selalu', 'adil', 'mana'), ('adil', 'mana', 'musuh'), ('mana', 'musuh', 'terlalu'), ('musuh', 'terlalu', 'jago'), ('terlalu', 'jago', 'mula')]"
"['ketemu', 'bot']",[]
"['minimal', 'beri', 'musuh', 'sendiri', 'imbang', 'laa', 'sendiri', 'gabisaa', 'lawan', 'jago', 'gimana', 'menang']","[('minimal', 'beri', 'musuh'), ('beri', 'musuh', 'sendiri'), ('musuh', 'sendiri', 'imbang'), ('sendiri', 'imbang', 'laa'), ('imbang', 'laa', 'sendiri'), ('laa', 'sendiri', 'gabisaa'), ('sendiri', 'gabisaa', 'lawan'), ('gabisaa', 'lawan', 'jago'), ('lawan', 'jago', 'gimana'), ('jago', 'gimana', 'menang')]"
"['inih', 'bagus']",[]
"['legends', 'seruu']",[]
['baik'],[]
"['kotol', 'lose', 'lose', 'moga', 'ceper', 'mati', 'nonton']","[('kotol', 'lose', 'lose'), ('lose', 'lose', 'moga'), ('lose', 'moga', 'ceper'), ('moga', 'ceper', 'mati'), ('ceper', 'mati', 'nonton')]"
['tai'],[]
['bantu'],[]
"['tolong', 'baik']",[]
"['bagus', 'ampe', 'ratarata', 'playernya', 'sdm', 'turun']","[('bagus', 'ampe', 'ratarata'), ('ampe', 'ratarata', 'playernya'), ('ratarata', 'playernya', 'sdm'), ('playernya', 'sdm', 'turun')]"
"['wah', 'keren', 'banget', 'ruang', 'clasik', 'brawel', 'arkade', 'tang', 'kasing', 'bintang', 'lima', 'musuh', 'botsemua', 'padaha', 'tang', 'epik', 'kenapa', 'musuh', 'bot']","[('wah', 'keren', 'banget'), ('keren', 'banget', 'ruang'), ('banget', 'ruang', 'clasik'), ('ruang', 'clasik', 'brawel'), ('clasik', 'brawel', 'arkade'), ('brawel', 'arkade', 'tang'), ('arkade', 'tang', 'kasing'), ('tang', 'kasing', 'bintang'), ('kasing', 'bintang', 'lima'), ('bintang', 'lima', 'musuh'), ('lima', 'musuh', 'botsemua'), ('musuh', 'botsemua', 'padaha'), ('botsemua', 'padaha', 'tang'), ('padaha', 'tang', 'epik'), ('tang', 'epik', 'kenapa'), ('epik', 'kenapa', 'musuh'), ('kenapa', 'musuh', 'bot')]"
"['babi', 'selalu', 'sampah']","[('babi', 'selalu', 'sampah')]"
